sample_index,t_s,event,gesture,rep
4,0.001739,record_start,,-1
7037,3.518121,preview,index_flex,0
10047,5.023263,prepare,index_flex,0
14070,7.034317,go,index_flex,0
22010,11.004330,return,index_flex,0
27040,13.519895,release,index_flex,0
34012,17.005499,preview,thumb_flex,1
37024,18.511119,prepare,thumb_flex,1
41100,20.549228,go,thumb_flex,1
49082,24.541110,return,thumb_flex,1
54048,27.023296,release,thumb_flex,1
61026,30.512833,preview,pinch,2
64090,32.044743,prepare,pinch,2
68020,34.009815,go,pinch,2
76096,38.047724,return,pinch,2
81048,40.523232,release,pinch,2
88102,44.050429,preview,elbow_flex,3
91056,45.527372,prepare,elbow_flex,3
95000,47.500102,go,elbow_flex,3
103047,51.523129,return,elbow_flex,3
108007,54.003566,release,elbow_flex,3
115063,57.532140,preview,shoulder_flex,4
118011,59.005710,prepare,shoulder_flex,4
122019,61.009829,go,shoulder_flex,4
130105,65.051926,return,shoulder_flex,4
135101,67.550171,release,shoulder_flex,4
142015,71.007302,preview,arm_lift,5
145078,72.539143,prepare,arm_lift,5
149010,74.506068,go,arm_lift,5
157053,78.526686,return,arm_lift,5
162089,81.043954,release,arm_lift,5
169059,84.529622,preview,pick_and_lift,6
172011,86.005509,prepare,pick_and_lift,6
176027,88.013899,go,pick_and_lift,6
184049,92.024032,return,pick_and_lift,6
189020,94.510031,release,pick_and_lift,6
196085,98.042152,preview,pick_and_raise,7
199027,99.514136,prepare,pick_and_raise,7
203045,101.522743,go,pick_and_raise,7
211063,105.532685,return,pick_and_raise,7
216044,108.022351,release,pick_and_raise,7
223046,111.523752,preview,index_flex,8
226091,113.045872,prepare,index_flex,8
230000,115.000757,go,index_flex,8
238096,119.048293,return,index_flex,8
243082,121.541424,release,index_flex,8
250031,125.015901,preview,thumb_flex,9
253060,126.530449,prepare,thumb_flex,9
257084,128.542822,go,thumb_flex,9
265046,132.523590,return,thumb_flex,9
270000,135.000998,release,thumb_flex,9
277040,138.520679,preview,pinch,10
280088,140.044268,prepare,pinch,10
284016,142.008185,go,pinch,10
292036,146.018380,return,pinch,10
297044,148.522865,release,pinch,10
304076,152.038293,preview,elbow_flex,11
307088,153.544597,prepare,elbow_flex,11
311022,155.511449,go,elbow_flex,11
319093,159.547429,return,elbow_flex,11
324036,162.019785,release,elbow_flex,11
331049,165.525301,preview,shoulder_flex,12
334097,167.048830,prepare,shoulder_flex,12
338063,169.032538,go,shoulder_flex,12
346069,173.034937,return,shoulder_flex,12
351070,175.536473,release,shoulder_flex,12
358031,179.016571,preview,arm_lift,13
361004,180.502874,prepare,arm_lift,13
365063,182.532532,go,arm_lift,13
372999,186.500303,return,arm_lift,13
378041,189.021411,release,arm_lift,13
385079,192.540277,preview,pick_and_lift,14
388003,194.002238,prepare,pick_and_lift,14
392055,196.029228,go,pick_and_lift,14
400018,200.010921,return,pick_and_lift,14
405019,202.510130,release,pick_and_lift,14
412021,206.010973,preview,pick_and_raise,15
415049,207.525722,prepare,pick_and_raise,15
419038,209.520769,go,pick_and_raise,15
427087,213.544765,return,pick_and_raise,15
432098,216.050432,release,pick_and_raise,15
439072,219.537315,preview,index_flex,16
442038,221.020588,prepare,index_flex,16
446020,223.010865,go,index_flex,16
454080,227.041524,return,index_flex,16
459025,229.514163,release,index_flex,16
466038,233.020754,preview,thumb_flex,17
469022,234.512012,prepare,thumb_flex,17
473012,236.507257,go,thumb_flex,17
481009,240.505863,return,thumb_flex,17
486032,243.017449,release,thumb_flex,17
493088,246.545045,preview,pinch,18
496068,248.034966,prepare,pinch,18
500056,250.029310,go,pinch,18
508036,254.019248,return,pinch,18
513012,256.507873,release,pinch,18
520066,260.034191,preview,elbow_flex,19
523068,261.535096,prepare,elbow_flex,19
527019,263.511849,go,elbow_flex,19
535057,267.530557,return,elbow_flex,19
540013,270.008453,release,elbow_flex,19
547031,273.517102,preview,shoulder_flex,20
550016,275.009700,prepare,shoulder_flex,20
553997,277.000243,go,shoulder_flex,20
562075,281.039259,return,shoulder_flex,20
567057,283.530597,release,shoulder_flex,20
574083,287.043353,preview,arm_lift,21
577009,288.506844,prepare,arm_lift,21
581006,290.504860,go,arm_lift,21
589029,294.516095,return,arm_lift,21
594040,297.022969,release,arm_lift,21
601087,300.545302,preview,pick_and_lift,22
604005,302.004040,prepare,pick_and_lift,22
608001,304.001975,go,pick_and_lift,22
616085,308.044701,return,pick_and_lift,22
621031,310.517037,release,pick_and_lift,22
628077,314.040528,preview,pick_and_raise,23
631042,315.523244,prepare,pick_and_raise,23
635042,317.522853,go,pick_and_raise,23
643176,321.590124,return,pick_and_raise,23
647997,324.000721,release,pick_and_raise,23
655045,327.526096,preview,index_flex,24
658008,329.005748,prepare,index_flex,24
662007,331.005831,go,index_flex,24
670077,335.040793,return,index_flex,24
675056,337.530243,release,index_flex,24
682055,341.030182,preview,thumb_flex,25
685016,342.510628,prepare,thumb_flex,25
689064,344.534496,go,thumb_flex,25
697139,348.571619,return,thumb_flex,25
702060,351.032177,release,thumb_flex,25
709032,354.517931,preview,pinch,26
712070,356.037305,prepare,pinch,26
716048,358.026331,go,pinch,26
724060,362.032434,return,pinch,26
729034,364.518785,release,pinch,26
736087,368.045899,preview,elbow_flex,27
739009,369.507378,prepare,elbow_flex,27
743029,371.517600,go,elbow_flex,27
751049,375.527165,return,elbow_flex,27
