sample_index,t_s,event,gesture,rep
6,0.002601,record_start,,-1
7029,3.514478,preview,index_flex,0
10086,5.043029,prepare,index_flex,0
14024,7.012134,go,index_flex,0
22017,11.008665,return,index_flex,0
27013,13.506683,release,index_flex,0
34066,17.032926,preview,thumb_flex,1
37023,18.511373,prepare,thumb_flex,1
41070,20.534852,go,thumb_flex,1
49053,24.526864,return,thumb_flex,1
54053,27.026969,release,thumb_flex,1
61059,30.529971,preview,pinch,2
64011,32.005503,prepare,pinch,2
68157,34.079538,go,pinch,2
76031,38.015873,return,pinch,2
81099,40.549250,release,pinch,2
88049,44.025046,preview,elbow_flex,3
91023,45.511026,prepare,elbow_flex,3
95005,47.502721,go,elbow_flex,3
103054,51.527764,return,elbow_flex,3
108054,54.027942,release,elbow_flex,3
115031,57.515951,preview,shoulder_flex,4
117999,59.000091,prepare,shoulder_flex,4
122088,61.044562,go,shoulder_flex,4
130054,65.027124,return,shoulder_flex,4
135071,67.536133,release,shoulder_flex,4
142012,71.006472,preview,arm_lift,5
145100,72.550703,prepare,arm_lift,5
149087,74.544093,go,arm_lift,5
157046,78.523259,return,arm_lift,5
162046,81.023788,release,arm_lift,5
169042,84.521649,preview,pick_and_lift,6
172071,86.036169,prepare,pick_and_lift,6
176031,88.016230,go,pick_and_lift,6
184010,92.005464,return,pick_and_lift,6
189002,94.501840,release,pick_and_lift,6
196023,98.012703,preview,pick_and_raise,7
199099,99.550343,prepare,pick_and_raise,7
203005,101.503532,go,pick_and_raise,7
211056,105.528920,return,pick_and_raise,7
216047,108.024372,release,pick_and_raise,7
223007,111.504312,preview,index_flex,8
226012,113.006686,prepare,index_flex,8
230070,115.035646,go,index_flex,8
238094,119.047945,return,index_flex,8
243096,121.549061,release,index_flex,8
250067,125.034134,preview,thumb_flex,9
253065,126.533554,prepare,thumb_flex,9
257051,128.526444,go,thumb_flex,9
265009,132.505713,return,thumb_flex,9
270013,135.007423,release,thumb_flex,9
277071,138.536770,preview,pinch,10
280061,140.031715,prepare,pinch,10
284039,142.020711,go,pinch,10
292052,146.027393,return,pinch,10
297086,148.544428,release,pinch,10
304069,152.035910,preview,elbow_flex,11
307048,153.525336,prepare,elbow_flex,11
