sample_index,t_s,event,gesture,rep
5,0.002079,record_start,,-1
7098,3.548194,preview,index_flex,0
10054,5.027343,prepare,index_flex,0
14010,7.004819,go,index_flex,0
22024,11.011083,return,index_flex,0
27094,13.546941,release,index_flex,0
34092,17.045623,preview,thumb_flex,1
37032,18.515677,prepare,thumb_flex,1
41091,20.545073,go,thumb_flex,1
49094,24.546568,return,thumb_flex,1
54060,27.029344,release,thumb_flex,1
61056,30.527644,preview,pinch,2
64096,32.048734,prepare,pinch,2
68054,34.026624,go,pinch,2
76072,38.035778,return,pinch,2
81058,40.528450,release,pinch,2
88083,44.041384,preview,elbow_flex,3
91024,45.511165,prepare,elbow_flex,3
95076,47.537732,go,elbow_flex,3
103096,51.547481,return,elbow_flex,3
108062,54.030205,release,elbow_flex,3
115076,57.537036,preview,shoulder_flex,4
118032,59.015813,prepare,shoulder_flex,4
122086,61.042219,go,shoulder_flex,4
130002,65.000865,return,shoulder_flex,4
135077,67.538238,release,shoulder_flex,4
142099,71.048882,preview,arm_lift,5
145039,72.519433,prepare,arm_lift,5
149001,74.500809,go,arm_lift,5
157009,78.504470,return,arm_lift,5
162075,81.037601,release,arm_lift,5
169067,84.533349,preview,pick_and_lift,6
172019,86.008904,prepare,pick_and_lift,6
176077,88.038429,go,pick_and_lift,6
184083,92.042549,return,pick_and_lift,6
189049,94.525937,release,pick_and_lift,6
196059,98.029003,preview,pick_and_raise,7
199101,99.550360,prepare,pick_and_raise,7
203055,101.527298,go,pick_and_raise,7
211069,105.533945,return,pick_and_raise,7
216037,108.018167,release,pick_and_raise,7
223033,111.516505,preview,index_flex,8
226075,113.036876,prepare,index_flex,8
230025,115.012436,go,index_flex,8
238035,119.017186,return,index_flex,8
243003,121.501419,release,index_flex,8
250003,125.002287,preview,thumb_flex,9
253046,126.523549,prepare,thumb_flex,9
257008,128.503658,go,thumb_flex,9
265059,132.529764,return,thumb_flex,9
270031,135.015684,release,thumb_flex,9
277028,138.513857,preview,pinch,10
280068,140.033718,prepare,pinch,10
284024,142.012184,go,pinch,10
292026,146.013417,return,pinch,10
297092,148.546271,release,pinch,10
304095,152.047613,preview,elbow_flex,11
307048,153.523592,prepare,elbow_flex,11
311098,155.548762,go,elbow_flex,11
319028,159.513935,return,elbow_flex,11
324098,162.048796,release,elbow_flex,11
331006,165.503334,preview,shoulder_flex,12
334046,167.023148,prepare,shoulder_flex,12
338098,169.049418,go,shoulder_flex,12
346018,173.008774,return,shoulder_flex,12
351082,175.541274,release,shoulder_flex,12
358074,179.036521,preview,arm_lift,13
361012,180.506174,prepare,arm_lift,13
365075,182.538537,go,arm_lift,13
373094,186.546752,return,arm_lift,13
378054,189.028419,release,arm_lift,13
385061,192.531183,preview,pick_and_lift,14
388001,194.000919,prepare,pick_and_lift,14
392057,196.030033,go,pick_and_lift,14
400067,200.034340,return,pick_and_lift,14
405033,202.517080,release,pick_and_lift,14
412025,206.013227,preview,pick_and_raise,15
415065,207.532632,prepare,pick_and_raise,15
419019,209.510359,go,pick_and_raise,15
427027,213.513842,return,pick_and_raise,15
432019,216.010182,release,pick_and_raise,15
439001,219.500970,preview,index_flex,16
442047,221.023495,prepare,index_flex,16
445999,223.000493,go,index_flex,16
454015,227.007989,return,index_flex,16
459015,229.508199,release,index_flex,16
466005,233.003042,preview,thumb_flex,17
469043,234.522291,prepare,thumb_flex,17
473001,236.501243,go,thumb_flex,17
481025,240.513238,return,thumb_flex,17
486093,243.046929,release,thumb_flex,17
493087,246.543366,preview,pinch,18
496020,248.011907,prepare,pinch,18
500081,250.040576,go,pinch,18
508094,254.047924,return,pinch,18
513076,256.538650,release,pinch,18
520020,260.010881,preview,elbow_flex,19
523062,261.531375,prepare,elbow_flex,19
527012,263.507251,go,elbow_flex,19
535038,267.519793,return,elbow_flex,19
540018,270.009998,release,elbow_flex,19
547024,273.512927,preview,shoulder_flex,20
550078,275.039371,prepare,shoulder_flex,20
554028,277.014885,go,shoulder_flex,20
562056,281.028927,return,shoulder_flex,20
567052,283.526145,release,shoulder_flex,20
574048,287.026207,preview,arm_lift,21
577094,288.547895,prepare,arm_lift,21
581048,290.524486,go,arm_lift,21
589049,294.525724,return,arm_lift,21
594023,297.012230,release,arm_lift,21
601018,300.510119,preview,pick_and_lift,22
604056,302.028828,prepare,pick_and_lift,22
608005,304.003174,go,pick_and_lift,22
616014,308.007797,return,pick_and_lift,22
621086,310.544067,release,pick_and_lift,22
628082,314.041638,preview,pick_and_raise,23
631028,315.514086,prepare,pick_and_raise,23
635085,317.542921,go,pick_and_raise,23
643003,321.502635,return,pick_and_raise,23
648079,324.040737,release,pick_and_raise,23
655083,327.541868,preview,index_flex,24
658026,329.014064,prepare,index_flex,24
662085,331.043469,go,index_flex,24
670093,335.047476,return,index_flex,24
675073,337.537469,release,index_flex,24
682071,341.036008,preview,thumb_flex,25
685013,342.507031,prepare,thumb_flex,25
689063,344.532734,go,thumb_flex,25
697067,348.534532,return,thumb_flex,25
