sample_index,t_s,event,gesture,rep
4,0.001906,record_start,,-1
7096,3.547939,preview,index_flex,0
10056,5.028989,prepare,index_flex,0
14074,7.036724,go,index_flex,0
22024,11.011495,return,index_flex,0
27096,13.547501,release,index_flex,0
34060,17.029895,preview,thumb_flex,1
37088,18.543368,prepare,thumb_flex,1
41096,20.547747,go,thumb_flex,1
49069,24.534326,return,thumb_flex,1
54045,27.022760,release,thumb_flex,1
61053,30.526515,preview,pinch,2
64083,32.041554,prepare,pinch,2
68049,34.024735,go,pinch,2
76095,38.047471,return,pinch,2
81049,40.524466,release,pinch,2
88021,44.010495,preview,elbow_flex,3
91073,45.536287,prepare,elbow_flex,3
95033,47.516371,go,elbow_flex,3
103080,51.540243,return,elbow_flex,3
108027,54.013651,release,elbow_flex,3
115011,57.506012,preview,shoulder_flex,4
118093,59.046739,prepare,shoulder_flex,4
122099,61.049889,go,shoulder_flex,4
130063,65.031734,return,shoulder_flex,4
135007,67.503941,release,shoulder_flex,4
142041,71.020226,preview,arm_lift,5
145027,72.513540,prepare,arm_lift,5
149073,74.535955,go,arm_lift,5
157061,78.530845,return,arm_lift,5
162083,81.041930,release,arm_lift,5
169003,84.502010,preview,pick_and_lift,6
172050,86.025497,prepare,pick_and_lift,6
176030,88.015001,go,pick_and_lift,6
184013,92.006821,return,pick_and_lift,6
189038,94.519411,release,pick_and_lift,6
196018,98.009398,preview,pick_and_raise,7
199072,99.536411,prepare,pick_and_raise,7
203028,101.514053,go,pick_and_raise,7
211016,105.508847,return,pick_and_raise,7
216004,108.002363,release,pick_and_raise,7
223028,111.514633,preview,index_flex,8
226054,113.027598,prepare,index_flex,8
230010,115.005474,go,index_flex,8
238092,119.046452,return,index_flex,8
243082,121.541464,release,index_flex,8
250084,125.042605,preview,thumb_flex,9
253034,126.517835,prepare,thumb_flex,9
257070,128.536077,go,thumb_flex,9
265082,132.541574,return,thumb_flex,9
270070,135.035172,release,thumb_flex,9
277040,138.521282,preview,pinch,10
280018,140.009739,prepare,pinch,10
284078,142.039622,go,pinch,10
292097,146.049336,return,pinch,10
297062,148.531935,release,pinch,10
304083,152.042247,preview,elbow_flex,11
307029,153.515610,prepare,elbow_flex,11
311049,155.525073,go,elbow_flex,11
319007,159.504479,return,elbow_flex,11
324073,162.037249,release,elbow_flex,11
331036,165.518671,preview,shoulder_flex,12
334057,167.029625,prepare,shoulder_flex,12
338042,169.022003,go,shoulder_flex,12
346035,173.018506,return,shoulder_flex,12
351022,175.512434,release,shoulder_flex,12
